timestamp,open,high,low,close,volume,close_time,quote_volume,trades,taker_buy_base,taker_buy_quote,ignore
2023-12-22,43861.79,44398.26,43412.54,43969.04,32783.19638,2023-12-22 23:59:59.999,1436074497.51285980,1404109,16049.22275000,703199211.03931960,0
2023-12-23,43969.04,43988.68,43291.1,43702.16,16557.1293,2023-12-23 23:59:59.999,722943825.33321760,849658,7765.30564000,339046509.16771960,0
2023-12-24,43702.15,43946.0,42500.0,42991.5,25144.33496,2023-12-24 23:59:59.999,1093460634.88942270,1137678,11841.26614000,514962029.17833470,0
2023-12-25,42991.5,43802.32,42720.43,43576.13,27021.23992,2023-12-25 23:59:59.999,1172053386.51098150,1168428,13691.23930000,593900885.80314620,0
2023-12-26,43576.12,43592.68,41637.6,42508.93,41010.04282,2023-12-26 23:59:59.999,1746333612.30494510,1475816,21096.16634000,898267435.23798300,0
2023-12-27,42508.93,43677.0,42098.69,43428.85,36191.21136,2023-12-27 23:59:59.999,1554082990.05227590,1439770,18982.83267000,815239612.61736400,0
2023-12-28,43428.86,43787.57,42241.79,42563.76,35150.52485,2023-12-28 23:59:59.999,1508408742.37808110,1391826,17422.81910000,747631903.05539890,0
2023-12-29,42563.76,43111.0,41300.0,42066.95,42597.18912,2023-12-29 23:59:59.999,1803086285.24657750,1571137,21195.34128000,897324724.79689550,0
2023-12-30,42066.94,42612.32,41520.3,42140.28,22906.57818,2023-12-30 23:59:59.999,964875790.98493500,936545,11727.69648000,494133887.90718110,0
2023-12-31,42140.29,42899.0,41965.84,42283.58,23585.91603,2023-12-31 23:59:59.999,1001519241.55590540,1016484,11997.14865000,509478742.74451080,0
2024-01-01,42283.58,44184.1,42180.77,44179.55,27174.29903,2024-01-01 23:59:59.999,1169995682.02800140,1114623,14331.73180000,617352094.56051940,0
2024-01-02,44179.55,45879.63,44148.34,44946.91,65146.40661,2024-01-02 23:59:59.999,2944331821.82307620,2247532,33817.14447000,1527964124.23758480,0
2024-01-03,44946.91,45500.0,40750.0,42845.23,81194.55173,2024-01-03 23:59:59.999,3507104563.74423210,2658041,39103.99162000,1687665202.95131440,0
2024-01-04,42845.23,44729.58,42613.77,44151.1,48038.06334,2024-01-04 23:59:59.999,2095095359.49363480,1819944,23605.90059000,1030075267.83901300,0
2024-01-05,44151.1,44357.46,42450.0,44145.11,48075.25327,2024-01-05 23:59:59.999,2100953924.36871550,2064845,24015.06426000,1049655019.14000940,0
2024-01-06,44145.12,44214.42,43397.05,43968.32,17835.06144,2024-01-06 23:59:59.999,781212883.49160610,956642,9048.57073000,396341787.36387760,0
2024-01-07,43968.32,44480.59,43572.09,43929.02,23023.8508,2024-01-07 23:59:59.999,1014635096.12414820,1109259,11613.52347000,511871007.52582630,0
2024-01-08,43929.01,47248.99,43175.0,46951.04,72814.57589,2024-01-08 23:59:59.999,3298772150.68150740,2364464,38728.80530000,1755312207.66818340,0
2024-01-09,46951.04,47972.0,44748.67,46110.0,69927.66617,2024-01-09 23:59:59.999,3251442072.80839630,2637745,34825.45429000,1620151226.33626950,0
2024-01-10,46110.0,47695.93,44300.36,46653.99,89911.41203,2024-01-10 23:59:59.999,4123809481.71276720,3133588,46910.79439000,2153126701.35216420,0
2024-01-11,46654.0,48969.48,45606.06,46339.16,87470.3296,2024-01-11 23:59:59.999,4105139605.02830200,2998451,44076.16830000,2070467939.65999250,0
2024-01-12,46339.16,46515.53,41500.0,42782.73,86327.93707,2024-01-12 23:59:59.999,3827483735.57605690,2809192,41707.58066000,1850840878.97782980,0
2024-01-13,42782.74,43257.0,42436.12,42847.99,36118.47464,2024-01-13 23:59:59.999,1547370611.55316620,1434243,17748.09824000,760432218.24545510,0
2024-01-14,42847.99,43079.0,41720.0,41732.35,28228.40894,2024-01-14 23:59:59.999,1202212782.25769300,1235727,13690.30843000,583261659.73857610,0
2024-01-15,41732.35,43400.43,41718.05,42511.1,40269.89303,2024-01-15 23:59:59.999,1718982911.10810270,1657611,19924.76030000,849997411.08758290,0
2024-01-16,42511.1,43578.01,42050.0,43137.95,45045.74589,2024-01-16 23:59:59.999,1931947150.05907020,1716580,24064.55667000,1031525441.93520850,0
2024-01-17,43137.94,43198.0,42200.69,42776.1,33266.21388,2024-01-17 23:59:59.999,1419888430.92288920,1438172,16648.20529000,710532768.04757790,0
2024-01-18,42776.09,42930.0,40683.28,41327.5,43907.51641,2024-01-18 23:59:59.999,1839426541.26357900,1466087,21085.14336000,883292634.20636370,0
2024-01-19,41327.51,42196.86,40280.0,41659.03,48342.74559,2024-01-19 23:59:59.999,1993846466.53875190,1641428,24347.50020000,1004478721.37920550,0
2024-01-20,41659.03,41872.56,41456.3,41696.04,15923.99493,2024-01-20 23:59:59.999,662768008.15093430,807324,7557.36632000,314535141.99556360,0
2024-01-21,41696.05,41881.39,41500.98,41580.33,11730.16301,2024-01-21 23:59:59.999,489151571.03090430,657817,5576.56045000,232552207.16073290,0
2024-01-22,41580.32,41689.65,39431.58,39568.02,55426.19911,2024-01-22 23:59:59.999,2247452153.79543270,2147250,26788.13985000,1086650848.06705250,0
2024-01-23,39568.02,40176.74,38555.0,39897.6,57956.63351,2024-01-23 23:59:59.999,2275851990.64682690,2043925,30913.97177000,1214417243.69641180,0
2024-01-24,39897.59,40555.0,39484.19,40084.88,39293.82861,2024-01-24 23:59:59.999,1569704923.83074920,1675615,20673.05725000,825887009.47442260,0
2024-01-25,40084.89,40300.24,39550.0,39961.09,31022.11853,2024-01-25 23:59:59.999,1238813296.15261370,1291233,15685.24919000,626369240.37339640,0
2024-01-26,39961.09,42246.82,39822.52,41823.51,47384.96726,2024-01-26 23:59:59.999,1951700659.28980700,1624861,24674.75551000,1016105199.71712130,0
2024-01-27,41823.51,42200.0,41394.34,42120.63,16224.41667,2024-01-27 23:59:59.999,678418702.35094450,751148,7485.64978000,312938659.24802430,0
2024-01-28,42120.63,42842.68,41620.81,42031.06,27294.99838,2024-01-28 23:59:59.999,1154365891.66825870,1032493,12971.18820000,548670338.63940100,0
2024-01-29,42031.05,43333.0,41804.88,43302.7,31542.74207,2024-01-29 23:59:59.999,1343462280.36186840,1197856,15996.88627000,681504721.35851260,0
2024-01-30,43302.71,43882.36,42683.99,42941.1,37619.24546,2024-01-30 23:59:59.999,1633251085.67135960,1316610,19317.29993000,838876408.45566850,0
2024-01-31,42941.1,43745.11,42276.84,42580.0,39871.13688,2024-01-31 23:59:59.999,1711665577.05308240,1499559,20289.94825000,871009715.17022070,0
2024-02-01,42580.0,43285.13,41884.28,43082.94,35231.04664,2024-02-01 23:59:59.999,1497121440.64400210,1392269,18134.84304000,770635549.48421270,0
2024-02-02,43082.95,43488.0,42546.79,43200.0,29672.14418,2024-02-02 23:59:59.999,1277919437.29056120,1086342,15645.57110000,673834785.74779100,0
2024-02-03,43199.99,43380.01,42880.0,43011.09,12033.40998,2024-02-03 23:59:59.999,518775350.03360090,609962,5691.78572000,245377398.51059570,0
2024-02-04,43011.1,43119.04,42222.0,42582.88,17066.89404,2024-02-04 23:59:59.999,730999557.70836820,931235,8427.12671000,360928641.05977220,0
2024-02-05,42582.88,43569.76,42258.1,42708.7,29467.75905,2024-02-05 23:59:59.999,1262620640.54071730,1317397,14984.06962000,642077579.58272680,0
2024-02-06,42708.7,43399.98,42574.0,43098.95,24675.85433,2024-02-06 23:59:59.999,1061049582.60027670,1120760,12810.98205000,550866463.74091940,0
2024-02-07,43098.96,44396.5,42788.0,44349.6,34392.59915,2024-02-07 23:59:59.999,1496013692.38292190,1378809,17755.87738000,772721372.44438850,0
2024-02-08,44349.6,45614.3,44331.1,45288.65,45439.62231,2024-02-08 23:59:59.999,2042912128.15176650,1863650,22731.52397000,1021963499.80033510,0
2024-02-09,45288.66,48200.0,45242.12,47132.77,73503.481,2024-02-09 23:59:59.999,3453043306.42097590,2323884,37360.96419000,1754880225.38020990,0
2024-02-10,47132.78,48170.0,46800.0,47751.09,24802.35936,2024-02-10 23:59:59.999,1176079377.69227620,1323421,12740.69912000,604397015.51796000,0
2024-02-11,47751.08,48592.66,47557.16,48299.99,29958.80837,2024-02-11 23:59:59.999,1443314885.77140530,1407270,15741.38294000,758411879.95568900,0
2024-02-12,48300.0,50334.82,47710.01,49917.27,59009.96705,2024-02-12 23:59:59.999,2898220863.01818030,1939394,30797.43359000,1512688561.68886550,0
2024-02-13,49917.28,50368.61,48300.95,49699.59,55551.56706,2024-02-13 23:59:59.999,2745025370.06744710,1741811,28409.79337000,1403783512.68099050,0
2024-02-14,49699.6,52043.71,49225.01,51795.17,57046.37401,2024-02-14 23:59:59.999,2919604456.72331270,1859392,29664.51830000,1518339681.33460220,0
2024-02-15,51795.17,52816.62,51314.0,51880.0,53816.03055,2024-02-15 23:59:59.999,2802825737.99201540,1786569,26722.58656000,1391971339.71580590,0
2024-02-16,51880.01,52572.08,51566.0,52124.11,37772.25318,2024-02-16 23:59:59.999,1965003863.97133420,1583711,18309.89888000,952708587.73249880,0
2024-02-17,52124.1,52162.82,50625.0,51642.64,25674.00622,2024-02-17 23:59:59.999,1319908544.97908910,1427773,12655.51593000,650426057.19761540,0
2024-02-18,51642.64,52377.0,51163.28,52137.67,21992.10363,2024-02-18 23:59:59.999,1139209588.43346260,1375422,11281.34692000,584447328.11427220,0
2024-02-19,52137.68,52488.77,51677.0,51774.73,29534.99432,2024-02-19 23:59:59.999,1539600521.60077290,1542990,15266.36204000,795825023.64422360,0
2024-02-20,51774.74,52985.0,50760.37,52258.82,49614.47318,2024-02-20 23:59:59.999,2574874999.37871740,1971912,24994.25062000,1297330385.00509330,0
2024-02-21,52258.82,52366.8,50625.0,51849.39,43079.40049,2024-02-21 23:59:59.999,2210278288.72509470,1824860,22239.73293000,1140905416.95625220,0
2024-02-22,51849.38,52065.78,50940.78,51288.42,35309.44574,2024-02-22 23:59:59.999,1820949707.15853400,1688184,17830.46730000,919599483.90786170,0
2024-02-23,51288.42,51548.54,50521.0,50744.15,30545.79544,2024-02-23 23:59:59.999,1559143576.82961640,1487039,14610.80906000,745820955.25604630,0
2024-02-24,50744.15,51698.0,50585.0,51568.22,16560.4211,2024-02-24 23:59:59.999,847793393.57186800,855015,8462.15627000,433239599.42398870,0
2024-02-25,51568.21,51958.55,51279.8,51728.85,18721.63159,2024-02-25 23:59:59.999,966951114.45046290,923992,9544.17672000,492952522.68163890,0
2024-02-26,51728.85,54910.0,50901.44,54476.47,51256.72199,2024-02-26 23:59:59.999,2710403072.98059510,1808909,27198.83551000,1438371804.11010130,0
2024-02-27,54476.48,57588.15,54450.13,57037.34,67194.98562,2024-02-27 23:59:59.999,3795949115.22493150,2414285,34970.25885000,1975472154.51157390,0
2024-02-28,57037.35,64000.0,56691.85,62432.1,118763.46984,2024-02-28 23:59:59.999,7162581994.48573950,3895062,62066.63936000,3742433894.94507670,0
2024-02-29,62432.11,63676.35,60364.7,61130.98,78425.07603,2024-02-29 23:59:59.999,4872212871.27608040,3169405,39463.06931000,2452515504.86865120,0
2024-03-01,61130.99,63114.23,60777.0,62387.9,47737.93473,2024-03-01 23:59:59.999,2956537377.96602980,1947444,24195.70252000,1498771144.09995600,0
2024-03-02,62387.9,62433.19,61561.12,61987.28,25534.73659,2024-03-02 23:59:59.999,1582566973.83409310,1641808,12691.37721000,786583052.08627260,0
2024-03-03,61987.28,63231.88,61320.0,63113.97,28994.90903,2024-03-03 23:59:59.999,1804536272.94434580,1992011,14905.18600000,927868983.73084310,0
2024-03-04,63113.97,68499.0,62300.0,68245.71,84835.16005,2024-03-04 23:59:59.999,5568877537.08125230,3887853,45319.08640000,2974396037.68572030,0
2024-03-05,68245.71,69000.0,59005.0,63724.01,132696.7813,2024-03-05 23:59:59.999,8674526591.28714170,5310706,65991.84526000,4318205559.64365010,0
2024-03-06,63724.01,67641.1,62779.14,66074.04,78738.85491,2024-03-06 23:59:59.999,5197743036.59727550,3302981,40344.32596000,2663883160.20696200,0
2024-03-07,66074.04,67980.0,65551.0,66823.17,53059.8869,2024-03-07 23:59:59.999,3548088039.27360850,2428227,27935.66302000,1867854683.98202980,0
2024-03-08,66823.18,69990.0,66082.66,68124.19,74261.932842,2024-03-08 23:59:59.999,5044395324.39905431,2943927,37711.51458100,2563347797.52868009,0
2024-03-09,68124.2,68541.1,67861.1,68313.27,19872.89743,2024-03-09 23:59:59.999,1355964036.90929860,1345341,10005.59200000,682720256.00282270,0
2024-03-10,68313.28,69887.61,68094.75,68955.88,38404.66835,2024-03-10 23:59:59.999,2659307501.09457810,2139518,19188.79904000,1328747995.99402550,0
2024-03-11,68955.88,72800.0,67024.96,72078.1,75292.825726,2024-03-11 23:59:59.999,5352704377.61880469,3043414,39435.85545900,2803359303.28697282,0
2024-03-12,72078.1,73000.0,68620.82,71452.01,68783.546691,2024-03-12 23:59:59.999,4909667978.55933818,3047890,34517.21293300,2465202174.40722632,0
2024-03-13,71452.0,73650.25,71333.31,73072.41,52659.711647,2024-03-13 23:59:59.999,3829764501.25379279,2501197,26787.08223700,1948382241.88946039,0
2024-03-14,73072.4,73777.0,68555.0,71388.94,71757.628746,2024-03-14 23:59:59.999,5132189849.09663160,2994869,35676.74832600,2552190396.88900670,0
2024-03-15,71388.94,72419.71,65600.0,69499.85,103334.03546,2024-03-15 23:59:59.999,7065279917.87211180,3904445,49844.66515000,3409385750.02117660,0
2024-03-16,69499.84,70043.0,64780.0,65300.63,55926.95336,2024-03-16 23:59:59.999,3788544202.88485590,2729019,27240.19894000,1846731512.27362330,0
2024-03-17,65300.64,68904.4,64533.0,68393.48,49742.21589,2024-03-17 23:59:59.999,3322963634.24251290,2449156,25328.29435000,1692079618.21131060,0
2024-03-18,68393.47,68956.0,66565.2,67609.99,55691.08088,2024-03-18 23:59:59.999,3768277912.41891810,2464515,28529.67219000,1930726566.24924600,0
2024-03-19,67610.0,68124.11,61555.0,61937.4,101005.32487,2024-03-19 23:59:59.999,6484805948.53539280,3593832,48205.28434000,3095258881.70227350,0
2024-03-20,61937.41,68100.0,60775.0,67840.51,90420.58592,2024-03-20 23:59:59.999,5769770052.06258300,3549793,45523.84281000,2907222064.13129160,0
2024-03-21,67840.51,68240.47,64529.01,65501.27,53357.48002,2024-03-21 23:59:59.999,3551223142.96441700,2388390,26650.09786000,1774833851.22152450,0
2024-03-22,65501.28,66649.62,62260.0,63796.64,51482.37821,2024-03-22 23:59:59.999,3310481978.10764530,2492881,24578.87957000,1580940164.12123740,0
2024-03-23,63796.64,65999.0,63000.0,63990.01,26410.11409,2024-03-23 23:59:59.999,1706152172.63161340,1753566,12749.00823000,823892846.71497700,0
2024-03-24,63990.02,67628.69,63772.29,67209.99,31395.78015,2024-03-24 23:59:59.999,2059312948.64868730,1880774,16689.65617000,1095820626.02919970,0
2024-03-25,67210.0,71150.0,66385.06,69880.01,53431.14486,2024-03-25 23:59:59.999,3679964073.81121250,2632220,27815.58769000,1915614174.23976360,0
2024-03-26,69880.0,71561.1,69280.0,69988.0,38934.38417,2024-03-26 23:59:59.999,2738537345.33588000,2176807,19498.85666000,1371708206.53887210,0
2024-03-27,69987.99,71769.54,68359.18,69469.99,49119.35685,2024-03-27 23:59:59.999,3426458581.94334340,2453366,24902.33470000,1737325915.83441790,0
2024-03-28,69469.99,71552.06,68903.62,70780.6,35439.03239,2024-03-28 23:59:59.999,2500571208.00262760,1799897,18007.26883000,1270852446.70774510,0
2024-03-29,70780.6,70916.16,69009.0,69850.54,25445.08353,2024-03-29 23:59:59.999,1779608477.32245370,1522607,11839.09290000,828039936.68545330,0
2024-03-30,69850.53,70321.1,69540.0,69582.18,13644.61142,2024-03-30 23:59:59.999,954555919.68557450,1110488,6423.89367000,449436189.73361900,0
2024-03-31,69582.17,71366.0,69562.99,71280.01,19396.34433,2024-03-31 23:59:59.999,1367523707.26124510,1181926,10142.47988000,715151368.94630210,0
2024-04-01,71280.0,71288.23,68062.86,69649.8,41445.32039,2024-04-01 23:59:59.999,2876486469.46552290,1893438,20211.15024000,1402849944.78228910,0
2024-04-02,69649.81,69674.23,64550.0,65463.99,71799.82793,2024-04-02 23:59:59.999,4750030717.92242550,2662410,35520.17401000,2348263612.30347050,0
2024-04-03,65463.99,66903.63,64493.07,65963.28,39887.21778,2024-04-03 23:59:59.999,2630556596.13592860,2172096,20618.58747000,1360363531.16595170,0
2024-04-04,65963.27,69309.91,65064.52,68487.79,41510.48453,2024-04-04 23:59:59.999,2795469450.57238580,2000945,21013.32173000,1415699952.03815850,0
2024-04-05,68487.8,68756.67,65952.56,67820.62,37915.23073,2024-04-05 23:59:59.999,2555458935.23600890,1901980,18889.98453000,1273220222.76258870,0
2024-04-06,67820.63,69692.0,67447.83,68896.0,20134.28919,2024-04-06 23:59:59.999,1373131967.76481860,1171460,9973.86412000,680800856.20965050,0
2024-04-07,68896.0,70326.29,68824.0,69360.39,21534.74433,2024-04-07 23:59:59.999,1496213373.18557760,1269048,11149.90398000,774906774.52828120,0
2024-04-08,69360.38,72797.99,69043.24,71620.0,45723.87624,2024-04-08 23:59:59.999,3270853309.66294220,2037025,25309.90487000,1811209901.71635400,0
2024-04-09,71620.0,71758.19,68210.0,69146.0,39293.90242,2024-04-09 23:59:59.999,2749007421.64210750,1804157,18896.53756000,1321865585.23805220,0
2024-04-10,69146.0,71172.08,67518.0,70631.08,42006.02377,2024-04-10 23:59:59.999,2901564970.81580420,1852170,20269.34809000,1401023003.73182270,0
2024-04-11,70631.08,71305.89,69567.21,70006.23,31917.25595,2024-04-11 23:59:59.999,2247473274.61625790,1658995,15908.49124000,1120249990.73575260,0
2024-04-12,70006.22,71227.46,65086.86,67116.52,56072.86229,2024-04-12 23:59:59.999,3843551585.32127470,2496617,25935.86464000,1777808491.17045420,0
2024-04-13,67116.52,67929.0,60660.57,63924.51,71395.22019,2024-04-13 23:59:59.999,4614468627.80904480,3341340,33221.66950000,2144846149.68091790,0
2024-04-14,63924.52,65840.0,62134.0,65661.84,61599.17818,2024-04-14 23:59:59.999,3946124834.69703540,2657953,29732.29634000,1904847012.50930860,0
2024-04-15,65661.85,66867.07,62274.4,63419.99,52389.53069,2024-04-15 23:59:59.999,3398072231.56122360,2539048,25206.68008000,1634572976.93981270,0
2024-04-16,63419.99,64365.0,61600.0,63793.39,53435.29331,2024-04-16 23:59:59.999,3355338198.44691320,2604354,26041.26640000,1635683129.30765320,0
2024-04-17,63793.4,64499.0,59678.16,61277.37,50610.54509,2024-04-17 23:59:59.999,3128625247.47385340,2458327,24346.74671000,1506361259.70135830,0
2024-04-18,61277.38,64117.09,60803.35,63470.08,43601.60918,2024-04-18 23:59:59.999,2726741448.88680220,2142511,20870.20705000,1305027167.93950820,0
2024-04-19,63470.09,65450.0,59600.01,63818.01,69774.30271,2024-04-19 23:59:59.999,4419893235.18328730,2828284,34941.50216000,2214809735.24024150,0
2024-04-20,63818.01,65419.0,63090.07,64940.59,23137.42975,2024-04-20 23:59:59.999,1486949581.43947920,1376712,11811.84440000,759077474.29729040,0
2024-04-21,64940.58,65695.56,64237.5,64941.15,19316.42152,2024-04-21 23:59:59.999,1254396628.15317660,1390153,9734.71767000,632257865.00824990,0
2024-04-22,64941.15,67232.35,64500.0,66819.32,31397.99371,2024-04-22 23:59:59.999,2071690434.97655200,1816591,16466.05497000,1086399264.60922710,0
2024-04-23,66819.32,67183.01,65765.81,66414.0,22599.90004,2024-04-23 23:59:59.999,1502139968.71988170,1433915,10854.17402000,721404825.84704100,0
2024-04-24,66414.0,67070.43,63606.06,64289.59,33595.69637,2024-04-24 23:59:59.999,2195714861.65765590,1784897,16899.50969000,1104368114.10586980,0
2024-04-25,64289.58,65297.94,62794.0,64498.34,31341.46338,2024-04-25 23:59:59.999,2007704069.26227290,1375324,14808.62959000,948738136.26843800,0
2024-04-26,64498.33,64820.01,63297.48,63770.01,27085.19346,2024-04-26 23:59:59.999,1736631357.35373870,1025561,13570.23647000,870093757.51889900,0
2024-04-27,63770.0,63923.41,62391.24,63461.98,20933.06052,2024-04-27 23:59:59.999,1320337707.78711590,912422,9903.95325000,624733409.21128790,0
2024-04-28,63461.98,64370.0,62781.0,63118.62,16949.20005,2024-04-28 23:59:59.999,1078450016.47322960,790652,7941.33811000,505261267.56950520,0
2024-04-29,63118.62,64228.35,61765.53,63866.0,28150.22947,2024-04-29 23:59:59.999,1765038324.68372130,1152296,13986.59437000,877053322.30799690,0
2024-04-30,63866.0,64734.0,59191.6,60672.0,54947.65535,2024-04-30 23:59:59.999,3372142467.43225250,1985671,26385.41614000,1620421850.57869910,0
2024-05-01,60672.01,60841.63,56552.82,58364.97,81166.46823,2024-05-01 23:59:59.999,4705572361.74020020,2401089,38203.57377000,2213404278.59001090,0
2024-05-02,58364.97,59625.0,56911.84,59060.61,47583.81961,2024-05-02 23:59:59.999,2778840305.05057860,1572898,23240.75370000,1356148775.88673650,0
2024-05-03,59060.6,63333.0,58811.32,62882.01,43628.40143,2024-05-03 23:59:59.999,2658193708.34790420,1558661,22145.44334000,1349687455.59576090,0
2024-05-04,62882.01,64540.0,62541.03,63892.04,24368.69282,2024-05-04 23:59:59.999,1547468697.87657970,1113509,12671.20599000,804768764.30625010,0
2024-05-05,63892.03,64646.0,62822.17,64012.0,18526.75029,2024-05-05 23:59:59.999,1182572239.53061830,992921,8954.93439000,571783428.23947070,0
2024-05-06,64012.0,65500.0,62700.0,63165.19,34674.91949,2024-05-06 23:59:59.999,2218131198.46613250,1392557,17179.56031000,1099303474.28052170,0
2024-05-07,63165.18,64422.41,62261.0,62312.08,25598.79472,2024-05-07 23:59:59.999,1624531631.59237700,1272898,12502.38281000,793575994.21410250,0
2024-05-08,62312.07,63020.22,60888.0,61193.03,26121.19004,2024-05-08 23:59:59.999,1623561041.12551880,1415152,12669.58179000,787749415.54808140,0
2024-05-09,61193.03,63429.03,60630.0,63074.01,30660.8061,2024-05-09 23:59:59.999,1895849912.77347550,1381957,15120.01471000,935341755.67823540,0
2024-05-10,63074.0,63469.13,60187.12,60799.99,36529.34025,2024-05-10 23:59:59.999,2255550468.41385220,1500643,18066.83174000,1116494638.28048920,0
2024-05-11,60799.99,61515.0,60487.09,60825.99,13374.56936,2024-05-11 23:59:59.999,814928013.45732880,753281,6223.09555000,379263096.21513300,0
2024-05-12,60825.99,61888.0,60610.0,61483.99,12753.13236,2024-05-12 23:59:59.999,781041632.46238350,727113,6416.91108000,393132351.88839250,0
2024-05-13,61484.0,63450.0,60749.21,62940.08,32733.41839,2024-05-13 23:59:59.999,2041896626.61081470,1371433,16717.90863000,1043060982.35746010,0
2024-05-14,62940.09,63118.36,61142.77,61577.49,29088.72041,2024-05-14 23:59:59.999,1800171876.16766540,1127939,13815.81443000,855088066.21248800,0
2024-05-15,61577.49,66444.16,61319.47,66206.5,43559.74719,2024-05-15 23:59:59.999,2794259631.89104640,1729454,21797.84094000,1398781701.44138860,0
2024-05-16,66206.51,66752.01,64602.77,65235.21,31106.3671,2024-05-16 23:59:59.999,2045507646.82938490,1269793,15645.11263000,1028962305.10438390,0
2024-05-17,65235.21,67451.2,65106.38,67024.0,26292.23409,2024-05-17 23:59:59.999,1745971822.34474550,1117254,13301.09525000,883129353.16334290,0
2024-05-18,67024.0,67400.01,66600.0,66915.2,14441.25774,2024-05-18 23:59:59.999,967145944.68353170,734067,6911.13424000,462859253.58791080,0
2024-05-19,66915.2,67700.0,65857.25,66274.01,18025.30409,2024-05-19 23:59:59.999,1204989222.87686860,823729,8692.17507000,581378180.33745970,0
2024-05-20,66274.0,71515.56,66060.31,71446.62,50816.7011,2024-05-20 23:59:59.999,3485474763.75229410,1930939,26792.52994000,1839346667.54078900,0
2024-05-21,71446.62,71979.0,69162.94,70148.34,49607.4336,2024-05-21 23:59:59.999,3509345769.23360780,2137448,24686.27911000,1746693652.32872200,0
2024-05-22,70148.34,70666.0,68842.19,69166.62,27673.18026,2024-05-22 23:59:59.999,1931700812.30321440,1371973,13124.78731000,916344293.91047570,0
2024-05-23,69166.62,70096.12,66312.16,67969.65,40513.17374,2024-05-23 23:59:59.999,2766790260.78860240,1827855,19791.15119000,1351640092.58136590,0
2024-05-24,67969.66,69250.0,66600.12,68549.99,28095.83664,2024-05-24 23:59:59.999,1906438696.71560120,1165907,14344.29889000,973457354.69577570,0
2024-05-25,68549.99,69610.0,68500.0,69290.57,12130.39418,2024-05-25 23:59:59.999,837339788.98389610,703803,5851.95991000,403954862.66947920,0
2024-05-26,69290.56,69562.23,68128.01,68507.67,11872.11797,2024-05-26 23:59:59.999,818914878.99088980,722849,5934.62083000,409411078.54609240,0
2024-05-27,68507.67,70687.56,68250.0,69436.43,23136.92737,2024-05-27 23:59:59.999,1604722197.83740280,1219341,11709.62174000,812172288.25763730,0
2024-05-28,69436.43,69591.81,67277.91,68398.39,32622.97042,2024-05-28 23:59:59.999,2224860225.79922270,1459351,15543.09776000,1059920452.31461710,0
2024-05-29,68398.4,68935.68,67124.65,67652.42,23159.83149,2024-05-29 23:59:59.999,1573095221.64839840,1221044,11748.55954000,797928379.36691790,0
2024-05-30,67652.41,69500.0,67128.0,68352.17,28478.2184,2024-05-30 23:59:59.999,1945001081.52158660,1272851,14074.36655000,961595245.17878340,0
2024-05-31,68352.17,69044.1,66670.0,67540.01,26690.32184,2024-05-31 23:59:59.999,1812659052.24967660,1177860,13258.10182000,900414200.11617690,0
2024-06-01,67540.01,67900.0,67428.44,67766.85,8837.66133,2024-06-01 23:59:59.999,598305207.99320460,638484,4235.27045000,286752060.40289290,0
2024-06-02,67766.84,68460.0,67257.47,67765.63,15426.32529,2024-06-02 23:59:59.999,1046827665.38293130,812348,7760.23377000,526768921.12622220,0
2024-06-03,67765.62,70288.0,67612.48,68809.9,29633.374,2024-06-03 23:59:59.999,2047757076.22683570,1253789,15308.67275000,1058024704.35337320,0
2024-06-04,68809.89,71063.45,68567.32,70537.84,29619.78489,2024-06-04 23:59:59.999,2069902136.99324010,1254515,14922.96734000,1043071241.62848080,0
2024-06-05,70537.83,71758.0,70383.66,71108.0,28703.18082,2024-06-05 23:59:59.999,2040073765.86763960,1055115,14210.23392000,1010053925.79108140,0
2024-06-06,71108.0,71700.0,70117.64,70799.06,21842.00449,2024-06-06 23:59:59.999,1551467659.15429660,900226,10287.39110000,730849194.23039900,0
2024-06-07,70799.06,71997.02,68420.0,69355.6,35598.45045,2024-06-07 23:59:59.999,2507250591.33297820,1516415,17318.78051000,1220810920.34443310,0
2024-06-08,69355.6,69582.2,69168.02,69310.46,9773.82967,2024-06-08 23:59:59.999,678267390.53103880,714103,4772.23036000,331182466.90034250,0
2024-06-09,69310.46,69857.14,69130.24,69648.14,9890.56709,2024-06-09 23:59:59.999,687344656.07255660,575583,4883.69296000,339405376.08154470,0
2024-06-10,69648.15,70195.94,69172.29,69540.0,17122.66941,2024-06-10 23:59:59.999,1192466549.96912270,936731,8412.00246000,585909223.77581300,0
2024-06-11,69540.0,69590.01,66051.0,67314.24,41436.01588,2024-06-11 23:59:59.999,2793799020.46912430,1782415,19839.82320000,1337254654.99899240,0
2024-06-12,67314.23,69999.0,66905.0,68263.99,37175.32356,2024-06-12 23:59:59.999,2550285139.18437200,1670745,18975.89081000,1302069589.64168150,0
2024-06-13,68263.98,68449.3,66251.78,66773.01,29079.55571,2024-06-13 23:59:59.999,1958897960.91729170,1518202,13886.14007000,935614189.69868110,0
2024-06-14,66773.01,67370.24,65078.0,66043.99,28408.18797,2024-06-14 23:59:59.999,1884451554.42828490,1736314,13619.40861000,903708200.78497490,0
2024-06-15,66043.99,66478.48,65857.1,66228.25,11451.80242,2024-06-15 23:59:59.999,758175888.02833720,700886,5495.02083000,363796116.45357520,0
2024-06-16,66228.25,66998.7,66034.5,66676.87,9392.52223,2024-06-16 23:59:59.999,624653672.61385750,703295,4750.05166000,315940653.99261210,0
